,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Students_in_11_12
818,Hamilton Freshman School,2,OH,OHIO,3904410,Hamilton City,4534,='390441004534',No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-9,No,No,No,No,41,38,0,2,2,2,0,0,62,41,257,236,14,11,376,330,11,8,79,25,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,Yes,2,2,0,0,0,2,0,0,2,2,26,35,2,2,32,43,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390441004534',Yes,3904410.0,Hamilton City,4534.0,Hamilton Freshman School,Regular School,1.0,4,No,9,9,Butler County,21,39.422915,-84.553145,No
819,LifeTech Academy,2,MI,MICHIGAN,2601058,LifeTech Academy,8544,='260105808544',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,8,17,0,0,0,0,0,0,8,14,35,47,8,11,59,89,0,0,10,10,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260105808544',No,2601058.0,LifeTech Academy,8544.0,LifeTech Academy,Regular School,1.0,4,Yes,6,12,Ingham County,12,42.70025,-84.500701,Yes
820,Options Secondary,2,CA,CALIFORNIA,638640,Sweetwater Union High,7709,='063864007709',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,68,53,0,0,5,2,0,0,5,0,8,5,2,2,88,62,32,29,34,13,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='063864007709',Yes,638640.0,Sweetwater Union High,7709.0,Options Secondary,Alternative Education School,4.0,3,No,7,12,San Diego County,21,32.61509,-117.0772,Yes
821,Alta Vista Academy,2,CA,CALIFORNIA,638640,Sweetwater Union High,10385,='063864010385',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,14,11,0,0,0,0,0,0,5,8,5,5,2,2,26,26,5,5,22,16,Yes,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='063864010385',Yes,638640.0,Sweetwater Union High,10385.0,Alta Vista Academy,Alternative Education School,4.0,3,No,7,12,San Diego County,21,32.618318,-117.025397,Yes
822,Michigan Great Lakes Virtual Academy,2,MI,MICHIGAN,2601070,Michigan Great Lakes Virtual Academy,8516,='260107008516',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,53,86,29,47,32,23,8,2,443,497,1298,1565,20,11,1883,2231,14,20,223,148,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260107008516',Yes,2601070.0,Michigan Great Lakes Virtual Academy,8516.0,Michigan Great Lakes Virtual Academy,Regular School,1.0,4,Yes,KG,12,Manistee County,33,44.24769000000001,-86.319041,Yes
823,Way Michigan (Virtual School),2,MI,MICHIGAN,2601074,WAY Michigan,8589,='260107408589',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,Yes,2,5,2,0,0,2,0,0,8,20,20,32,11,20,43,79,0,2,4,7,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260107408589',Yes,2601074.0,WAY Michigan,8589.0,WAY Michigan,Alternative Education School,4.0,4,Yes,6,12,Wayne County,11,42.33303,-83.04243100000002,Yes
824,Alabama School of Fine Arts,2,AL,ALABAMA,100018,Alabama School of Fine Arts,2104,='010001802104',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,8,0,2,17,23,2,0,29,59,77,137,2,5,129,234,0,0,0,0,Yes,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Yes,0,0,0,0,17,20,2,0,17,11,68,50,2,5,106,86,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='010001802104',-9,100018.0,Alabama School of Fine Arts,2104.0,Alabama School of Fine Arts,Alternative Education School,4.0,3,No,7,12,Jefferson County,12,33.520933,-86.812936,Yes
825,OxBow ACES Academy/Alternative and Adult Ed,2,MI,MICHIGAN,2602730,Alpena Public Schools,1594,='260273001594',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,2,0,2,0,0,0,0,0,0,0,59,56,2,2,65,58,0,0,13,4,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260273001594',No,2602730.0,Alpena Public Schools,1594.0,OxBow ACES Academy/Alternative and Adult Ed,Alternative Education School,4.0,3,No,7,12,Alpena County,33,45.082123,-83.465283,Yes
827,Provost Academy Ohio,2,OH,OHIO,3901523,Provost Academy Ohio,5816,='390152305816',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,0,0,0,0,0,0,0,0,11,20,26,41,0,0,37,61,0,0,7,7,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390152305816',Yes,3901523.0,Provost Academy Ohio,5816.0,Provost Academy Ohio,Regular School,1.0,4,Yes,6,12,Franklin County,11,39.97983,-83.062951,Yes
828,Benzie Academy,2,MI,MICHIGAN,2604950,Benzie County Central Schools,8155,='260495008155',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,2,2,5,5,0,0,0,0,2,0,26,23,0,2,35,32,0,0,10,4,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260495008155',No,2604950.0,Benzie County Central Schools,8155.0,Benzie Academy,Alternative Education School,4.0,3,No,9,12,Benzie County,43,44.5909,-86.09138100000001,Yes
829,Summit Academy Secondary - Akron,2,OH,OHIO,3900494,Summit Academy Secondary - Akron,5204,='390049405204',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,Yes,No,2,0,2,0,0,0,0,0,14,11,17,14,2,2,37,27,0,0,28,19,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390049405204',Yes,3900494.0,Summit Academy Secondary - Akron,5204.0,Summit Academy Secondary - Akron,Special Education School,2.0,3,No,9,12,Summit County,12,41.09684,-81.570131,Yes
830,Greater Ohio Virtual School,2,OH,OHIO,3900488,Greater Ohio Virtual School,5198,='390048805198',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,5,2,2,2,0,2,0,0,2,2,197,203,2,2,208,213,0,0,64,52,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390048805198',Yes,3900488.0,Greater Ohio Virtual School,5198.0,Greater Ohio Virtual School,Regular School,1.0,3,Yes,7,12,Warren County,21,39.4065,-84.211271,Yes
831,Berrien Springs Virtual Academy,2,MI,MICHIGAN,2605430,Berrien Springs Public Schools,8175,='260543008175',No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,14,20,2,2,5,5,0,0,14,14,194,221,8,8,237,270,5,2,0,0,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260543008175',No,2605430.0,Berrien Springs Public Schools,8175.0,Berrien Springs Virtual Academy,Alternative Education School,4.0,4,No,1,12,Berrien County,31,41.943547,-86.34480400000002,Yes
832,Ernest W. Seaholm High School,2,MI,MICHIGAN,2605850,Birmingham Public Schools,4217,='260585004217',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,14,14,0,2,8,17,0,0,38,26,572,596,11,8,643,663,11,8,97,37,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,Yes,5,8,0,2,5,11,0,0,5,8,218,287,5,2,238,318,2,2,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260585004217',No,2605850.0,Birmingham Public Schools,4217.0,Ernest W. Seaholm High School,Regular School,1.0,3,No,8,12,Oakland County,21,42.539045,-83.244251,Yes
833,CIMARRON HS,2,OK,OKLAHOMA,4007710,CIMARRON,540,='400771000540',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,2,2,2,0,0,0,0,0,0,2,38,23,2,0,44,27,0,0,7,10,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='400771000540',Yes,4007710.0,CIMARRON,540.0,CIMARRON HS,Regular School,1.0,3,No,9,12,Garfield County,42,36.386736,-98.089823,Yes
834,WAY Academy - Flint Flint Campus,2,MI,MICHIGAN,2601056,WAY Academy - Flint,8577,='260105608577',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,Yes,2,5,2,2,0,0,0,0,101,86,11,20,2,0,118,113,2,5,31,16,Yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260105608577',Yes,2601056.0,WAY Academy - Flint,8577.0,WAY Academy - Flint Flint Campus,Alternative Education School,4.0,3,No,7,12,Genesee County,13,43.02151,-83.68247099999998,Yes
836,Saline Alternative High School,2,MI,MICHIGAN,2630660,Saline Area Schools,7868,='263066007868',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,0,2,0,0,0,0,0,0,2,0,11,20,5,2,18,24,0,2,4,4,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='263066007868',No,2630660.0,Saline Area Schools,7868.0,Saline Alternative High School,Alternative Education School,4.0,3,No,9,12,Washtenaw County,21,42.18008,-83.786,Yes
837,Elk Mountain Elementary - 01,2,SD,SOUTH DAKOTA,4621300,Elk Mountain School District 16-2,899,='462130000899',No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,0,2,8,2,0,0,8,4,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='462130000899',Yes,4621300.0,Elk Mountain School District 16-2,899.0,Elk Mountain Elementary - 01,Regular School,1.0,1,No,PK,8,Custer County,43,43.69337,-104.011644,No
838,Selby Elementary - 02,2,SD,SOUTH DAKOTA,4601028,Selby Area School District 62-5,1032,='460102801032',No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,0,2,2,5,0,0,0,0,2,0,92,83,0,0,96,90,0,0,7,7,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='460102801032',Yes,4601028.0,Selby Area School District 62-5,1032.0,Selby Elementary - 02,Regular School,1.0,1,No,PK,6,Walworth County,43,45.508869,-100.031427,Yes
839,Beckwourth (Jim) High (Continuation),2,CA,CALIFORNIA,631170,Plumas Unified,7825,='063117007825',No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,-9,No,No,No,No,2,0,2,0,0,0,0,0,0,0,5,2,2,0,11,2,0,0,4,0,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='063117007825',Yes,631170.0,Plumas Unified,7825.0,Beckwourth (Jim) High (Continuation),Alternative Education School,4.0,3,No,9,12,Plumas County,41,39.80173,-120.466341,Yes
840,Gardner Academy for Learning and Technology,2,MA,MASSACHUSETTS,2505130,Gardner,2692,='250513002692',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,5,2,0,2,0,2,0,0,2,0,38,44,2,2,47,52,2,0,10,16,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='250513002692',No,2505130.0,Gardner,2692.0,Gardner Academy for Learning and Technology,Alternative Education School,4.0,3,No,9,12,Worcester County,22,42.556222,-71.979247,Yes
841,Silverado High,2,CA,CALIFORNIA,633860,Saddleback Valley Unified,5315,='063386005315',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,No,74,44,2,0,2,2,2,0,5,2,38,26,8,2,131,76,17,8,7,0,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='063386005315',Yes,633860.0,Saddleback Valley Unified,5315.0,Silverado High,Alternative Education School,4.0,3,No,9,12,Orange County,21,33.62116,-117.682751,Yes
842,WHISPERING PINES SCHOOL,2,FL,FLORIDA,1200180,BROWARD,2801,='120018002801',No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,35,20,2,0,2,0,0,0,53,29,44,20,2,2,138,71,2,2,130,70,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='120018002801',Yes,1200180.0,BROWARD,2801.0,WHISPERING PINES SCHOOL,Special Education School,2.0,4,No,PK,12,Broward County,21,25.975681,-80.263837,Yes
843,CROSS CREEK SCHOOL,2,FL,FLORIDA,1200180,BROWARD,1356,='120018001356',No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,14,2,0,0,0,2,0,0,53,20,38,14,2,2,107,40,0,0,109,37,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='120018001356',Yes,1200180.0,BROWARD,1356.0,CROSS CREEK SCHOOL,Special Education School,2.0,4,No,KG,12,Broward County,12,26.241116,-80.162234,Yes
844,Crater Lake Charter Academy,2,OR,OREGON,4104500,Eagle Point SD 9,1831,='410450001831',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,8,17,2,2,2,0,0,2,2,0,107,104,2,2,123,127,0,0,16,13,Yes,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='410450001831',No,4104500.0,Eagle Point SD 9,1831.0,Crater Lake Charter Academy,Regular School,1.0,4,Yes,KG,12,Jackson County,22,42.47167,-122.804301,Yes
845,W-A-Y Academy - Vernor Site,2,MI,MICHIGAN,2601023,W-A-Y Academy,8403,='260102308403',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,Yes,125,113,2,11,0,0,0,0,35,26,29,35,2,2,193,187,95,89,28,25,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260102308403',Yes,2601023.0,W-A-Y Academy,8403.0,W-A-Y Academy - Vernor Site,Alternative Education School,4.0,4,No,6,12,Wayne County,11,42.30897,-83.132551,Yes
846,DISCOVERY HIGH SCHOOL,2,CO,COLORADO,806480,School District No. 3 in the county of El Paso and State of,51,='080648000051',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,No,8,8,2,0,0,0,0,0,2,2,23,11,2,2,37,23,0,0,0,0,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='080648000051',No,806480.0,School District No. 3 in the county of El Paso and State of,51.0,DISCOVERY HIGH SCHOOL,Alternative Education School,4.0,3,No,9,12,El Paso County,21,38.755349,-104.735985,Yes
847,Metropolitan Learning Center,2,OR,OREGON,4110040,Portland SD 1J,967,='411004000967',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,17,26,2,2,5,8,0,0,2,2,182,164,8,11,216,213,2,2,55,31,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='411004000967',No,4110040.0,Portland SD 1J,967.0,Metropolitan Learning Center,Alternative Education School,4.0,4,No,KG,12,Multnomah County,11,45.526636,-122.693323,Yes
848,Paisley School,2,OR,OREGON,4109430,Paisley SD 11,521,='410943000521',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,8,8,0,0,5,5,0,0,5,0,92,86,11,2,121,101,0,0,16,4,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,Yes,0,0,0,0,2,0,0,0,0,0,0,2,2,0,4,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='410943000521',No,4109430.0,Paisley SD 11,521.0,Paisley School,Regular School,1.0,4,Yes,KG,12,Lake County,43,42.69334600000001,-120.542683,Yes
849,ACADEMY AT LARRAGOITE,2,NM,NEW MEXICO,3502370,SANTA FE PUBLIC SCHOOLS,788,='350237000788',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,38,53,2,2,2,0,0,0,0,0,11,5,0,0,53,60,8,14,10,10,Yes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='350237000788',Yes,3502370.0,SANTA FE PUBLIC SCHOOLS,788.0,ACADEMY AT LARRAGOITE,Alternative Education School,4.0,3,No,7,12,Santa Fe County,13,35.658203,-105.982483,Yes
850,Eugene Education Options,2,OR,OREGON,4104740,Eugene SD 4J,567,='410474000567',No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,-9,No,No,No,No,29,26,5,0,2,2,0,2,5,5,104,98,14,17,159,150,0,2,25,13,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='410474000567',No,4104740.0,Eugene SD 4J,567.0,Eugene Education Options,Alternative Education School,4.0,3,No,9,12,Lane County,12,44.01333,-123.075471,Yes
851,Quaker Digital Academy,2,OH,OHIO,3900252,Quaker Digital Academy,5195,='390025205195',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,2,11,5,2,2,2,0,0,11,14,260,323,14,8,294,360,0,0,28,22,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390025205195',Yes,3900252.0,Quaker Digital Academy,5195.0,Quaker Digital Academy,Regular School,1.0,4,Yes,KG,12,Tuscarawas County,32,40.48051,-81.441491,Yes
852,Bridgeport High School,2,MI,MICHIGAN,2606780,Bridgeport-Spaulding Community School District,4274,='260678004274',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,56,44,0,2,0,2,0,0,188,170,65,53,11,14,320,285,2,2,43,31,Yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,2,5,2,8,0,0,4,13,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='260678004274',Yes,2606780.0,Bridgeport-Spaulding Community School District,4274.0,Bridgeport High School,Regular School,1.0,3,No,8,12,Saginaw County,22,43.355172,-83.868999,Yes
